#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
23977870,3,3.572,0.759,7,8,-74,5180,googleWifiAP05,1
23978090,3,3.728,0.484,7,8,-68,5180,googleWifiAP05,1
23978317,3,3.845,0.172,7,8,-68,5180,googleWifiAP05,1
23978578,3,3.611,0.608,7,8,-61,5180,googleWifiAP05,1
23978827,3,4.079,0.331,7,8,-61,5180,googleWifiAP05,1
23979068,3,3.611,0.517,7,8,-68,5180,googleWifiAP05,1
23979306,3,3.767,0.474,7,8,-63,5180,googleWifiAP05,1
23979544,3,3.767,0.439,7,8,-69,5180,googleWifiAP05,1
23979808,3,3.611,0.513,7,8,-72,5180,googleWifiAP05,1
23980074,3,3.767,0.481,7,8,-66,5180,googleWifiAP05,1
23980342,3,3.767,0.42,7,8,-67,5180,googleWifiAP05,1
23980598,3,3.65,0.587,7,8,-68,5180,googleWifiAP05,1
23980846,3,3.689,0.476,7,8,-67,5180,googleWifiAP05,1
23981102,3,3.532,0.493,7,8,-66,5180,googleWifiAP05,1
23981367,3,3.415,0.653,7,8,-67,5180,googleWifiAP05,1
23981602,3,3.572,0.523,7,8,-66,5180,googleWifiAP05,1
23981836,3,3.571,0.496,7,8,-67,5180,googleWifiAP05,1
23982071,3,3.454,0.576,7,8,-68,5180,googleWifiAP05,1
23982305,3,3.454,0.573,7,8,-69,5180,googleWifiAP05,1
23982537,3,3.376,0.541,7,8,-70,5180,googleWifiAP05,1
23982775,3,3.689,0.476,7,8,-70,5180,googleWifiAP05,1
23983013,3,3.611,0.529,7,8,-69,5180,googleWifiAP05,1
23983268,3,3.689,0.52,7,8,-67,5180,googleWifiAP05,1
23983542,3,3.767,0.442,7,8,-67,5180,googleWifiAP05,1
23983809,3,3.689,0.493,7,8,-69,5180,googleWifiAP05,1
23984075,3,3.65,0.609,7,8,-70,5180,googleWifiAP05,1
23984348,3,3.884,0.342,7,8,-69,5180,googleWifiAP05,1
23984592,3,3.728,0.426,7,8,-67,5180,googleWifiAP05,1
23984831,3,3.689,0.558,7,8,-66,5180,googleWifiAP05,1
23985074,3,3.532,0.523,7,8,-70,5180,googleWifiAP05,1
23985331,3,3.65,0.552,7,8,-67,5180,googleWifiAP05,1
23985592,3,3.728,0.442,7,8,-68,5180,googleWifiAP05,1
23985844,3,3.767,0.437,7,8,-70,5180,googleWifiAP05,1
23986102,3,3.611,0.57,7,8,-67,5180,googleWifiAP05,1
23986370,3,3.806,0.436,7,8,-70,5180,googleWifiAP05,1
23986615,3,3.728,0.516,7,8,-68,5180,googleWifiAP05,1
23986852,3,3.689,0.42,7,8,-71,5180,googleWifiAP05,1
23987089,3,3.65,0.462,7,8,-70,5180,googleWifiAP05,1
23987357,3,3.689,0.569,7,8,-69,5180,googleWifiAP05,1
23987631,3,3.845,0.497,7,8,-70,5180,googleWifiAP05,1
23987897,3,3.845,0.473,7,8,-67,5180,googleWifiAP05,1
23988169,3,3.767,0.482,7,8,-71,5180,googleWifiAP05,1
23988433,3,3.689,0.565,7,8,-71,5180,googleWifiAP05,1
23988672,3,3.767,0.405,7,8,-68,5180,googleWifiAP05,1
23988914,3,3.65,0.52,7,8,-69,5180,googleWifiAP05,1
23989153,3,3.65,0.495,7,8,-69,5180,googleWifiAP05,1
23989412,3,3.65,0.504,7,8,-70,5180,googleWifiAP05,1
23989667,3,3.611,0.528,7,8,-68,5180,googleWifiAP05,1
23989942,3,3.532,0.535,7,8,-69,5180,googleWifiAP05,1
23990215,3,3.689,0.472,7,8,-68,5180,googleWifiAP05,1
23990469,3,3.689,0.606,7,8,-68,5180,googleWifiAP05,1
23990711,3,3.689,0.523,7,8,-68,5180,googleWifiAP05,1
23990951,3,3.689,0.572,7,8,-67,5180,googleWifiAP05,1
23991195,3,3.65,0.546,7,8,-67,5180,googleWifiAP05,1
23991435,3,3.65,0.504,7,8,-67,5180,googleWifiAP05,1
23991675,3,3.532,0.552,7,8,-70,5180,googleWifiAP05,1
23991915,3,3.571,0.546,7,8,-67,5180,googleWifiAP05,1
23992175,3,3.572,0.516,7,8,-68,5180,googleWifiAP05,1
23992452,3,3.572,0.501,7,8,-69,5180,googleWifiAP05,1
23992724,3,3.532,0.49,7,8,-66,5180,googleWifiAP05,1
23992993,3,3.611,0.538,7,8,-68,5180,googleWifiAP05,1
23993271,3,3.689,0.629,7,8,-70,5180,googleWifiAP05,1
23993517,3,3.689,0.59,7,8,-68,5180,googleWifiAP05,1
23993757,3,3.728,0.563,7,8,-68,5180,googleWifiAP05,1
23994021,3,3.728,0.529,7,8,-70,5180,googleWifiAP05,1
23994267,3,3.689,0.537,7,8,-68,5180,googleWifiAP05,1
23994508,3,3.611,0.473,7,8,-69,5180,googleWifiAP05,1
23994747,3,3.65,0.49,7,8,-68,5180,googleWifiAP05,1
23994992,3,3.65,0.538,7,8,-68,5180,googleWifiAP05,1
23995262,3,3.65,0.552,7,8,-69,5180,googleWifiAP05,1
23995530,3,3.689,0.519,7,8,-69,5180,googleWifiAP05,1
23995790,3,3.611,0.563,7,8,-71,5180,googleWifiAP05,1
23996052,3,3.65,0.508,7,8,-67,5180,googleWifiAP05,1
23996301,3,3.65,0.495,7,8,-68,5180,googleWifiAP05,1
23996544,3,3.611,0.587,7,8,-68,5180,googleWifiAP05,1
23996782,3,3.65,0.512,7,8,-69,5180,googleWifiAP05,1
23997044,3,3.611,0.56,7,8,-69,5180,googleWifiAP05,1
23997283,3,3.611,0.549,7,8,-67,5180,googleWifiAP05,1
23997525,3,3.611,0.573,7,8,-71,5180,googleWifiAP05,1
23997770,3,3.767,0.405,7,8,-68,5180,googleWifiAP05,1
23998031,3,3.65,0.538,7,8,-68,5180,googleWifiAP05,1
23998280,3,3.65,0.485,7,8,-70,5180,googleWifiAP05,1
23998543,3,3.572,0.606,7,8,-69,5180,googleWifiAP05,1
23998816,3,3.689,0.569,7,8,-69,5180,googleWifiAP05,1
23999086,3,3.689,0.458,7,8,-69,5180,googleWifiAP05,1
23999328,3,3.689,0.504,7,8,-67,5180,googleWifiAP05,1
23999571,3,3.727,0.515,7,8,-67,5180,googleWifiAP05,1
23999829,3,3.689,0.481,7,8,-69,5180,googleWifiAP05,1
24000062,3,3.689,0.493,7,8,-70,5180,googleWifiAP05,1
24000304,3,3.571,0.573,7,8,-67,5180,googleWifiAP05,1
24000545,3,3.689,0.519,7,8,-69,5180,googleWifiAP05,1
24000813,3,3.65,0.565,7,8,-66,5180,googleWifiAP05,1
24001090,3,3.689,0.586,7,8,-70,5180,googleWifiAP05,1
24001354,3,3.65,0.562,7,8,-67,5180,googleWifiAP05,1
24001612,3,3.689,0.516,7,8,-68,5180,googleWifiAP05,1
24001877,3,3.65,0.581,7,8,-68,5180,googleWifiAP05,1
24002125,3,3.728,0.541,7,8,-68,5180,googleWifiAP05,1
24002365,3,3.65,0.599,7,8,-70,5180,googleWifiAP05,1
24002630,3,3.65,0.596,7,8,-69,5180,googleWifiAP05,1
24002876,3,3.689,0.477,7,8,-71,5180,googleWifiAP05,1
24003118,3,3.611,0.59,7,8,-69,5180,googleWifiAP05,1
24003361,3,3.65,0.563,7,8,-72,5180,googleWifiAP05,1
24003629,3,3.65,0.609,7,8,-70,5180,googleWifiAP05,1
24003882,3,3.65,0.565,7,8,-66,5180,googleWifiAP05,1
24004148,3,3.728,0.489,7,8,-66,5180,googleWifiAP05,1
24004413,3,3.728,0.503,7,8,-67,5180,googleWifiAP05,1
24004682,3,3.689,0.594,7,8,-67,5180,googleWifiAP05,1
24004937,3,3.689,0.533,7,8,-68,5180,googleWifiAP05,1
24005166,3,3.611,0.656,7,8,-69,5180,googleWifiAP05,1
24005408,3,3.65,0.597,7,8,-70,5180,googleWifiAP05,1
24005657,3,3.689,0.562,7,8,-69,5180,googleWifiAP05,1
24005899,3,3.611,0.597,7,8,-70,5180,googleWifiAP05,1
24006141,3,3.689,0.607,7,8,-69,5180,googleWifiAP05,1
24006384,3,3.611,0.556,7,8,-70,5180,googleWifiAP05,1
24006647,3,3.611,0.587,7,8,-69,5180,googleWifiAP05,1
24006929,3,3.689,0.536,7,8,-71,5180,googleWifiAP05,1
24007194,3,3.572,0.616,7,8,-70,5180,googleWifiAP05,1
24007457,3,3.689,0.546,7,8,-69,5180,googleWifiAP05,1
24007703,3,3.689,0.547,7,8,-70,5180,googleWifiAP05,1
24007944,3,3.728,0.506,7,8,-67,5180,googleWifiAP05,1
24008183,3,3.611,0.56,7,8,-69,5180,googleWifiAP05,1
24008435,3,3.65,0.552,7,8,-67,5180,googleWifiAP05,1
24008684,3,3.572,0.656,7,8,-67,5180,googleWifiAP05,1
24008924,3,3.65,0.565,7,8,-68,5180,googleWifiAP05,1
24009168,3,3.572,0.61,7,8,-71,5180,googleWifiAP05,1
24009434,3,3.65,0.61,7,8,-68,5180,googleWifiAP05,1
24009701,3,3.65,0.61,7,8,-67,5180,googleWifiAP05,1
24009972,3,3.689,0.565,7,8,-68,5180,googleWifiAP05,1
24010244,3,3.65,0.565,7,8,-69,5180,googleWifiAP05,1
24010508,3,3.611,0.634,7,8,-70,5180,googleWifiAP05,1
24010751,3,3.65,0.626,7,8,-70,5180,googleWifiAP05,1
24010993,3,3.689,0.536,7,8,-71,5180,googleWifiAP05,1
24011255,3,3.689,0.558,7,8,-68,5180,googleWifiAP05,1
24011500,3,3.689,0.561,7,8,-69,5180,googleWifiAP05,1
24011744,3,3.689,0.565,7,8,-69,5180,googleWifiAP05,1
24011990,3,3.611,0.595,7,8,-67,5180,googleWifiAP05,1
