#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
28613078,14,13.65,2.02,7,8,-77,5180,googleWifiAP05,1
28613300,14,16.003,0.211,7,8,-77,5180,googleWifiAP05,1
28613535,14,14.187,0.153,7,8,-71,5180,googleWifiAP05,1
28613886,14,13.611,0.335,7,8,-71,5180,googleWifiAP05,1
28614139,14,13.513,0.309,7,8,-73,5180,googleWifiAP05,1
28614470,14,13.806,1.051,7,8,-71,5180,googleWifiAP05,1
28614806,14,13.835,0.305,7,8,-73,5180,googleWifiAP05,1
28615134,14,13.923,0.196,7,8,-71,5180,googleWifiAP05,1
28615455,14,13.279,0.549,7,8,-73,5180,googleWifiAP05,1
28615722,14,13.689,0.219,7,8,-71,5180,googleWifiAP05,1
28615992,14,13.718,0.129,7,8,-71,5180,googleWifiAP05,1
28616240,14,13.689,0.171,7,8,-72,5180,googleWifiAP05,1
28616482,14,13.718,0.209,7,8,-71,5180,googleWifiAP05,1
28616742,14,13.601,0.39,7,8,-72,5180,googleWifiAP05,1
28617039,14,13.611,0.204,5,8,-73,5180,googleWifiAP05,1
28617299,14,13.367,0.417,7,8,-73,5180,googleWifiAP05,1
28617566,14,13.396,0.304,7,8,-73,5180,googleWifiAP05,1
28617837,14,13.484,0.256,7,8,-73,5180,googleWifiAP05,1
28618102,14,13.337,0.347,7,8,-73,5180,googleWifiAP05,1
28618368,14,13.63,0.219,7,8,-73,5180,googleWifiAP05,1
28618640,14,13.366,0.457,7,8,-73,5180,googleWifiAP05,1
28618922,14,13.396,0.363,7,8,-72,5180,googleWifiAP05,1
28619196,14,13.249,0.425,7,8,-73,5180,googleWifiAP05,1
28619469,14,13.367,0.37,7,8,-73,5180,googleWifiAP05,1
28619741,14,13.425,0.338,7,8,-73,5180,googleWifiAP05,1
28620014,14,13.455,0.3,7,8,-73,5180,googleWifiAP05,1
28620292,14,13.542,0.262,7,8,-73,5180,googleWifiAP05,1
28620563,14,13.396,0.339,7,8,-73,5180,googleWifiAP05,1
28620830,14,13.308,0.342,7,8,-74,5180,googleWifiAP05,1
28621100,14,13.542,0.289,7,8,-73,5180,googleWifiAP05,1
28621362,14,13.484,0.293,7,8,-74,5180,googleWifiAP05,1
28621635,14,13.337,0.347,7,8,-73,5180,googleWifiAP05,1
28621902,14,13.366,0.327,7,8,-72,5180,googleWifiAP05,1
28622164,14,13.513,0.378,7,8,-72,5180,googleWifiAP05,1
28622407,14,13.279,0.391,7,8,-72,5180,googleWifiAP05,1
28622670,14,13.513,0.292,7,8,-72,5180,googleWifiAP05,1
28622945,14,13.337,0.338,7,8,-72,5180,googleWifiAP05,1
28623222,14,13.425,0.315,7,8,-72,5180,googleWifiAP05,1
28623496,14,13.484,0.345,7,8,-72,5180,googleWifiAP05,1
28623764,14,13.396,0.355,7,8,-74,5180,googleWifiAP05,1
28624041,14,13.542,0.269,7,8,-73,5180,googleWifiAP05,1
28624322,14,13.542,0.351,7,8,-73,5180,googleWifiAP05,1
28624577,14,13.425,0.377,7,8,-72,5180,googleWifiAP05,1
28624863,14,13.425,0.333,7,8,-72,5180,googleWifiAP05,1
28625134,14,13.455,0.234,7,8,-73,5180,googleWifiAP05,1
28625406,14,13.396,0.288,7,8,-73,5180,googleWifiAP05,1
28625680,14,13.484,0.288,7,8,-73,5180,googleWifiAP05,1
28625954,14,13.484,0.314,7,8,-73,5180,googleWifiAP05,1
28626223,14,13.425,0.307,7,8,-73,5180,googleWifiAP05,1
28626500,14,13.366,0.306,7,8,-73,5180,googleWifiAP05,1
28626759,14,13.396,0.343,7,8,-73,5180,googleWifiAP05,1
28627022,14,13.572,0.219,7,8,-72,5180,googleWifiAP05,1
28627289,14,13.542,0.297,7,8,-72,5180,googleWifiAP05,1
28627561,14,13.747,0.118,7,8,-73,5180,googleWifiAP05,1
28627835,14,13.747,0.128,7,8,-72,5180,googleWifiAP05,1
28628105,14,13.689,0.195,7,8,-72,5180,googleWifiAP05,1
28628357,14,13.689,0.213,7,8,-71,5180,googleWifiAP05,1
28628613,14,13.454,0.249,7,8,-73,5180,googleWifiAP05,1
28628884,14,13.513,0.281,7,8,-72,5180,googleWifiAP05,1
28629162,14,13.396,0.329,7,8,-72,5180,googleWifiAP05,1
28629414,14,13.513,0.316,7,8,-73,5180,googleWifiAP05,1
28629673,14,13.308,0.39,7,8,-73,5180,googleWifiAP05,1
28629940,14,13.454,0.358,7,8,-73,5180,googleWifiAP05,1
28630207,14,13.484,0.231,7,8,-73,5180,googleWifiAP05,1
28630478,14,13.366,0.381,7,8,-72,5180,googleWifiAP05,1
