#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
27613603,7,7.165,0.226,7,8,-64,5180,googleWifiAP05,1
27613838,7,6.697,0.373,7,8,-65,5180,googleWifiAP05,1
27614076,7,7.331,0.152,7,8,-63,5180,googleWifiAP05,1
27614315,7,6.892,0.294,7,8,-63,5180,googleWifiAP05,1
27614573,7,6.853,0.313,7,8,-63,5180,googleWifiAP05,1
27614842,7,6.775,0.33,7,8,-63,5180,googleWifiAP05,1
27615112,7,7.566,0.489,7,8,-64,5180,googleWifiAP05,1
27615395,7,7.654,0.166,7,8,-64,5180,googleWifiAP05,1
27615662,7,6.736,0.398,7,8,-63,5180,googleWifiAP05,1
27615924,7,7.439,0.21,7,8,-65,5180,googleWifiAP05,1
27616190,7,7.243,0.255,7,8,-64,5180,googleWifiAP05,1
27616462,7,6.892,0.439,7,8,-64,5180,googleWifiAP05,1
27616724,7,7.048,0.325,7,8,-66,5180,googleWifiAP05,1
27616981,7,7.009,0.338,7,8,-65,5180,googleWifiAP05,1
27617220,7,7.322,0.25,7,8,-63,5180,googleWifiAP05,1
27617460,7,7.126,0.227,7,8,-66,5180,googleWifiAP05,1
27617726,7,7.087,0.3,7,8,-64,5180,googleWifiAP05,1
27617990,7,7.331,0.202,7,8,-65,5180,googleWifiAP05,1
27618263,7,7.165,0.381,7,8,-63,5180,googleWifiAP05,1
27618536,7,7.214,0.114,7,8,-64,5180,googleWifiAP05,1
27618795,7,6.892,0.405,7,8,-64,5180,googleWifiAP05,1
27619063,7,7.282,0.164,7,8,-65,5180,googleWifiAP05,1
27619330,7,6.618,0.611,7,8,-64,5180,googleWifiAP05,1
27619598,7,6.462,0.624,7,8,-64,5180,googleWifiAP05,1
27619862,7,6.345,0.699,7,8,-64,5180,googleWifiAP05,1
27620115,7,6.775,0.455,7,8,-65,5180,googleWifiAP05,1
27620378,7,6.736,0.509,7,8,-66,5180,googleWifiAP05,1
27620654,7,6.853,0.364,7,8,-65,5180,googleWifiAP05,1
27620923,7,6.54,0.638,7,8,-64,5180,googleWifiAP05,1
27621193,7,6.657,0.436,7,8,-65,5180,googleWifiAP05,1
27621463,7,6.618,0.519,7,8,-64,5180,googleWifiAP05,1
27621740,7,7.4,0.115,7,8,-64,5180,googleWifiAP05,1
27622013,7,7.4,0.058,7,8,-64,5180,googleWifiAP05,1
27622277,7,7.243,0.233,7,8,-64,5180,googleWifiAP05,1
27622550,7,7.282,0.197,7,8,-63,5180,googleWifiAP05,1
27622827,7,7.126,0.286,7,8,-63,5180,googleWifiAP05,1
27623096,7,7.087,0.272,7,8,-63,5180,googleWifiAP05,1
27623349,7,7.087,0.348,7,8,-63,5180,googleWifiAP05,1
