#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
28538471,13,13.142,0.174,7,8,-69,5180,googleWifiAP05,1
28538707,13,12.458,0.302,7,8,-68,5180,googleWifiAP05,1
28538949,13,12.986,0.052,7,8,-70,5180,googleWifiAP05,1
28539205,13,12.722,0.19,7,8,-71,5180,googleWifiAP05,1
28539467,13,12.947,0.12,7,8,-70,5180,googleWifiAP05,1
28539735,13,12.986,0.147,7,8,-70,5180,googleWifiAP05,1
28539975,13,12.986,0.151,7,8,-70,5180,googleWifiAP05,1
28540238,13,12.868,0.138,7,8,-70,5180,googleWifiAP05,1
28540495,13,12.947,0.113,7,8,-71,5180,googleWifiAP05,1
28540761,13,13.064,0.091,7,8,-70,5180,googleWifiAP05,1
28541029,13,12.908,0.129,7,8,-70,5180,googleWifiAP05,1
28541299,13,13.064,0.157,7,8,-71,5180,googleWifiAP05,1
28541541,13,13.044,0.149,7,8,-71,5180,googleWifiAP05,1
28541781,13,13.181,0.199,7,8,-71,5180,googleWifiAP05,1
28542023,13,12.868,0.184,7,8,-70,5180,googleWifiAP05,1
28542287,13,12.907,0.066,7,8,-71,5180,googleWifiAP05,1
28542550,13,12.781,0.183,7,8,-71,5180,googleWifiAP05,1
28542811,13,12.576,0.3,7,8,-70,5180,googleWifiAP05,1
28543063,13,12.634,0.295,7,8,-71,5180,googleWifiAP05,1
28543325,13,12.898,0.178,7,8,-70,5180,googleWifiAP05,1
28543592,13,12.546,0.353,7,8,-71,5180,googleWifiAP05,1
28543857,13,12.986,0.149,7,8,-71,5180,googleWifiAP05,1
28544131,13,12.781,0.305,7,8,-71,5180,googleWifiAP05,1
28544399,13,13.064,0.12,7,8,-71,5180,googleWifiAP05,1
28544672,13,12.898,0.163,7,8,-71,5180,googleWifiAP05,1
28544939,13,12.693,0.129,7,8,-71,5180,googleWifiAP05,1
28545206,13,12.693,0.139,7,8,-70,5180,googleWifiAP05,1
28545481,13,13.181,0.866,7,8,-70,5180,googleWifiAP05,1
28545751,13,12.429,0.327,7,8,-71,5180,googleWifiAP05,1
28546017,13,12.634,0.259,7,8,-71,5180,googleWifiAP05,1
