#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
28322160,12,12.087,1.132,7,8,-69,5180,googleWifiAP05,1
28322395,12,11.775,0.252,7,8,-75,5180,googleWifiAP05,1
28322657,12,13.718,0.613,7,8,-70,5180,googleWifiAP05,1
28322921,12,12.126,0.752,7,8,-70,5180,googleWifiAP05,1
28323191,12,11.931,0.946,7,8,-70,5180,googleWifiAP05,1
28323464,12,12.439,0.633,7,8,-71,5180,googleWifiAP05,1
28323729,12,12.283,0.632,7,8,-72,5180,googleWifiAP05,1
28324006,12,12.009,0.618,7,8,-74,5180,googleWifiAP05,1
28324278,12,11.853,0.826,7,8,-73,5180,googleWifiAP05,1
28324537,12,12.165,0.745,7,8,-72,5180,googleWifiAP05,1
28324799,12,11.97,0.668,7,8,-72,5180,googleWifiAP05,1
28325059,12,12.087,0.567,7,8,-73,5180,googleWifiAP05,1
28325552,12,11.619,0.859,7,8,-73,5180,googleWifiAP05,1
28325794,12,11.97,0.828,7,8,-71,5180,googleWifiAP05,1
28326057,12,12.126,1.37,7,8,-69,5180,googleWifiAP05,1
28326333,12,12.283,0.605,7,8,-73,5180,googleWifiAP05,1
28326605,12,12.165,0.807,7,8,-72,5180,googleWifiAP05,1
28326877,12,12.009,1.1,7,8,-71,5180,googleWifiAP05,1
28327143,12,12.048,0.9,7,8,-71,5180,googleWifiAP05,1
28327414,12,12.204,0.768,7,8,-73,5180,googleWifiAP05,1
28327692,12,12.009,0.855,7,8,-70,5180,googleWifiAP05,1
28327963,12,12.087,0.726,7,8,-71,5180,googleWifiAP05,1
28328228,12,12.048,0.805,7,8,-72,5180,googleWifiAP05,1
28328494,12,12.048,0.592,7,8,-73,5180,googleWifiAP05,1
28328766,12,11.697,0.735,7,8,-75,5180,googleWifiAP05,1
28329040,12,11.775,0.706,7,8,-73,5180,googleWifiAP05,1
28329314,12,12.126,0.776,7,8,-72,5180,googleWifiAP05,1
28329575,12,11.931,0.884,7,8,-72,5180,googleWifiAP05,1
28329835,12,11.814,0.96,7,8,-71,5180,googleWifiAP05,1
28330108,12,12.009,0.847,7,8,-71,5180,googleWifiAP05,1
28330381,12,11.97,0.645,7,8,-73,5180,googleWifiAP05,1
28330658,12,11.97,0.89,7,8,-72,5180,googleWifiAP05,1
28330921,12,11.97,0.751,7,8,-73,5180,googleWifiAP05,1
28331170,12,11.853,0.873,7,8,-71,5180,googleWifiAP05,1
28331428,12,12.009,0.813,7,8,-72,5180,googleWifiAP05,1
28331703,12,12.009,0.808,7,8,-71,5180,googleWifiAP05,1
28331977,12,11.892,0.854,7,8,-72,5180,googleWifiAP05,1
28332249,12,11.814,0.845,7,8,-72,5180,googleWifiAP05,1
28332521,12,11.892,0.875,7,8,-72,5180,googleWifiAP05,1
28332799,12,11.853,0.867,7,8,-72,5180,googleWifiAP05,1
28333072,12,11.931,0.849,7,8,-72,5180,googleWifiAP05,1
28333342,12,11.97,0.838,7,8,-72,5180,googleWifiAP05,1
28333605,12,11.931,0.879,7,8,-72,5180,googleWifiAP05,1
28333851,12,11.892,0.856,7,8,-72,5180,googleWifiAP05,1
28334110,12,12.048,0.805,7,8,-72,5180,googleWifiAP05,1
28334382,12,11.97,0.828,7,8,-72,5180,googleWifiAP05,1
28334657,12,11.97,0.823,7,8,-72,5180,googleWifiAP05,1
28334928,12,11.814,0.903,7,8,-71,5180,googleWifiAP05,1
28335201,12,11.853,0.902,7,8,-72,5180,googleWifiAP05,1
28335476,12,11.931,0.817,7,8,-72,5180,googleWifiAP05,1
28335750,12,11.931,0.832,7,8,-72,5180,googleWifiAP05,1
28336023,12,11.892,0.877,7,8,-72,5180,googleWifiAP05,1
28336296,12,11.814,0.878,7,8,-72,5180,googleWifiAP05,1
28336563,12,11.853,0.882,7,8,-72,5180,googleWifiAP05,1
28336832,12,12.009,0.824,7,8,-72,5180,googleWifiAP05,1
28337086,12,11.931,0.802,7,8,-72,5180,googleWifiAP05,1
