#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
41939370,4,4.299,0.165,7,8,-57,5180,googleWifiAP05,1
41939616,4,3.918,0.238,7,8,-61,5180,googleWifiAP05,1
41939871,4,3.577,0.225,7,8,-58,5180,googleWifiAP05,1
41940147,4,4.006,0.153,7,8,-59,5180,googleWifiAP05,1
41940425,4,4.27,0.285,7,8,-57,5180,googleWifiAP05,1
41940707,4,4.006,0.196,7,8,-57,5180,googleWifiAP05,1
41940993,4,3.772,0.337,7,8,-57,5180,googleWifiAP05,1
41941279,4,4.094,0.328,7,8,-55,5180,googleWifiAP05,1
41941871,4,4.182,0.185,7,8,-59,5180,googleWifiAP05,1
41942150,4,4.153,0.176,7,8,-58,5180,googleWifiAP05,1
41942421,4,4.036,0.224,7,8,-58,5180,googleWifiAP05,1
41942673,4,4.006,0.287,7,8,-58,5180,googleWifiAP05,1
41942923,4,3.977,0.187,7,8,-59,5180,googleWifiAP05,1
41943202,4,4.211,0.126,7,8,-56,5180,googleWifiAP05,1
41943487,4,4.182,0.218,7,8,-56,5180,googleWifiAP05,1
41943778,4,4.182,0.219,7,8,-57,5180,googleWifiAP05,1
41944063,4,3.918,0.231,7,8,-57,5180,googleWifiAP05,1
41944330,4,4.153,0.233,7,8,-57,5180,googleWifiAP05,1
41944617,4,4.123,0.109,7,8,-58,5180,googleWifiAP05,1
41944915,4,4.153,0.056,7,8,-58,5180,googleWifiAP05,1
41945191,4,3.977,0.172,7,8,-57,5180,googleWifiAP05,1
41945465,4,4.182,0.09,7,8,-57,5180,googleWifiAP05,1
41945751,4,4.036,0.205,7,8,-57,5180,googleWifiAP05,1
41946028,4,4.094,0.211,7,8,-57,5180,googleWifiAP05,1
41946312,4,4.123,0.206,7,8,-57,5180,googleWifiAP05,1
41946600,4,4.006,0.215,7,8,-58,5180,googleWifiAP05,1
41946889,4,4.123,0.276,7,8,-58,5180,googleWifiAP05,1
41947173,4,4.153,0.223,7,8,-58,5180,googleWifiAP05,1
41947458,4,4.094,0.151,7,8,-58,5180,googleWifiAP05,1
41947740,4,3.713,0.348,7,8,-58,5180,googleWifiAP05,1
41948011,4,4.006,0.177,7,8,-57,5180,googleWifiAP05,1
41948292,4,4.123,0.167,7,8,-57,5180,googleWifiAP05,1
41948558,4,4.006,0.124,7,8,-57,5180,googleWifiAP05,1
41948846,4,3.948,0.256,7,8,-57,5180,googleWifiAP05,1
41949132,4,4.006,0.28,7,8,-59,5180,googleWifiAP05,1
41949411,4,4.211,0.11,7,8,-58,5180,googleWifiAP05,1
41949664,4,4.006,0.234,7,8,-57,5180,googleWifiAP05,1
41949922,4,4.006,0.256,7,8,-58,5180,googleWifiAP05,1
41950183,4,4.153,0.09,7,8,-58,5180,googleWifiAP05,1
41950496,4,4.006,0.165,3,8,-58,5180,googleWifiAP05,1
41951025,4,4.006,0,1,8,-58,5180,googleWifiAP05,1
41951301,4,3.918,0.216,7,8,-58,5180,googleWifiAP05,1
41951575,4,4.182,0.227,7,8,-57,5180,googleWifiAP05,1
41951851,4,4.094,0.241,7,8,-58,5180,googleWifiAP05,1
41952135,4,3.889,0.233,7,8,-57,5180,googleWifiAP05,1
41952416,4,3.948,0.231,7,8,-58,5180,googleWifiAP05,1
41952700,4,4.036,0.239,7,8,-57,5180,googleWifiAP05,1
41952972,4,4.094,0.214,7,8,-57,5180,googleWifiAP05,1
41953236,4,3.889,0.185,7,8,-57,5180,googleWifiAP05,1
41953514,4,4.084,0.304,7,8,-58,5180,googleWifiAP05,1
41953796,4,4.153,0.205,7,8,-57,5180,googleWifiAP05,1
41954083,4,3.889,0.28,7,8,-57,5180,googleWifiAP05,1
41954364,4,4.065,0.174,7,8,-57,5180,googleWifiAP05,1
41954649,4,3.83,0.348,7,8,-58,5180,googleWifiAP05,1
41954924,4,3.743,0.347,7,8,-57,5180,googleWifiAP05,1
41955203,4,3.977,0.243,7,8,-57,5180,googleWifiAP05,1
41955460,4,4.036,0.188,7,8,-57,5180,googleWifiAP05,1
41955729,4,4.094,0.124,7,8,-58,5180,googleWifiAP05,1
41956013,4,4.153,0.307,7,8,-57,5180,googleWifiAP05,1
41956299,4,3.977,0.124,7,8,-58,5180,googleWifiAP05,1
41956567,4,3.889,0.287,7,8,-57,5180,googleWifiAP05,1
41956850,4,3.918,0.206,7,8,-58,5180,googleWifiAP05,1
41957144,4,3.977,0.208,7,8,-57,5180,googleWifiAP05,1
41957424,4,4.065,0.28,7,8,-58,5180,googleWifiAP05,1
41957711,4,4.182,0.166,7,8,-58,5180,googleWifiAP05,1
