#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
31897013,2,2.561,0.433,7,8,-71,5180,googleWifiAP05,1
31897258,2,2.835,0.231,7,8,-71,5180,googleWifiAP05,1
31897508,2,2.678,0.328,7,8,-73,5180,googleWifiAP05,1
31897769,2,2.248,0.583,7,8,-72,5180,googleWifiAP05,1
31898034,2,2.756,0.257,7,8,-73,5180,googleWifiAP05,1
31898279,2,2.444,0.431,7,8,-72,5180,googleWifiAP05,1
31898531,2,2.483,0.408,7,8,-70,5180,googleWifiAP05,1
31898771,2,2.483,0.472,7,8,-72,5180,googleWifiAP05,1
31899011,2,2.405,0.451,7,8,-71,5180,googleWifiAP05,1
31899249,2,2.483,0.37,7,8,-72,5180,googleWifiAP05,1
31899489,2,2.561,0.379,7,8,-73,5180,googleWifiAP05,1
31899753,2,2.717,0.304,7,8,-71,5180,googleWifiAP05,1
31899986,2,2.522,0.451,7,8,-71,5180,googleWifiAP05,1
31900217,2,2.444,0.414,7,8,-71,5180,googleWifiAP05,1
31900465,2,2.405,0.485,7,8,-71,5180,googleWifiAP05,1
31900708,2,2.678,0.28,7,8,-65,5180,googleWifiAP05,1
31900952,2,2.639,0.185,7,8,-71,5180,googleWifiAP05,1
31901196,2,2.678,0.175,7,8,-71,5180,googleWifiAP05,1
31901448,2,2.639,0.283,7,8,-71,5180,googleWifiAP05,1
31901683,2,2.6,0.464,7,8,-71,5180,googleWifiAP05,1
31901916,2,2.6,0.395,7,8,-72,5180,googleWifiAP05,1
31902150,2,2.561,0.5,7,8,-72,5180,googleWifiAP05,1
31902394,2,2.366,0.644,7,8,-71,5180,googleWifiAP05,1
31902645,2,2.6,0.427,7,8,-72,5180,googleWifiAP05,1
31902901,2,2.483,0.28,7,8,-71,5180,googleWifiAP05,1
31903143,2,2.405,0.462,7,8,-72,5180,googleWifiAP05,1
31903412,2,2.561,0.343,7,8,-71,5180,googleWifiAP05,1
31903673,2,2.678,0.259,7,8,-72,5180,googleWifiAP05,1
31903913,2,2.483,0.41,7,8,-72,5180,googleWifiAP05,1
31904151,2,2.678,0.3,7,8,-71,5180,googleWifiAP05,1
31904388,2,2.639,0.305,7,8,-72,5180,googleWifiAP05,1
31904644,2,2.444,0.414,7,8,-71,5180,googleWifiAP05,1
31904889,2,2.6,0.325,7,8,-72,5180,googleWifiAP05,1
31905152,2,3.186,0,1,8,-72,5180,googleWifiAP05,1
31905398,2,2.6,0.319,7,8,-72,5180,googleWifiAP05,1
31905642,2,2.522,0.353,7,8,-72,5180,googleWifiAP05,1
31905878,2,2.522,0.364,7,8,-72,5180,googleWifiAP05,1
31906112,2,2.6,0.363,7,8,-72,5180,googleWifiAP05,1
31906361,2,2.561,0.334,7,8,-71,5180,googleWifiAP05,1
31906619,2,2.6,0.322,7,8,-72,5180,googleWifiAP05,1
31906881,2,2.6,0.303,7,8,-72,5180,googleWifiAP05,1
31907142,2,2.561,0.329,7,8,-72,5180,googleWifiAP05,1
31907402,2,2.522,0.363,7,8,-72,5180,googleWifiAP05,1
31907653,2,2.561,0.375,7,8,-72,5180,googleWifiAP05,1
31907902,2,2.677,0.364,7,8,-72,5180,googleWifiAP05,1
31908147,2,2.483,0.395,7,8,-72,5180,googleWifiAP05,1
31908409,2,2.561,0.318,7,8,-72,5180,googleWifiAP05,1
31908655,2,2.522,0.348,7,8,-71,5180,googleWifiAP05,1
31908897,2,2.6,0.335,7,8,-72,5180,googleWifiAP05,1
31909149,2,2.561,0.339,7,8,-72,5180,googleWifiAP05,1
31909412,2,2.6,0.303,7,8,-72,5180,googleWifiAP05,1
31909668,2,2.522,0.373,7,8,-72,5180,googleWifiAP05,1
31909932,2,2.522,0.369,7,8,-72,5180,googleWifiAP05,1
31910185,2,2.444,0.39,7,8,-72,5180,googleWifiAP05,1
31910437,2,2.561,0.386,7,8,-72,5180,googleWifiAP05,1
31910674,2,2.522,0.342,7,8,-72,5180,googleWifiAP05,1
31910909,2,2.639,0.292,7,8,-71,5180,googleWifiAP05,1
31911177,2,2.561,0.329,7,8,-72,5180,googleWifiAP05,1
31911425,2,2.522,0.336,7,8,-71,5180,googleWifiAP05,1
31911668,2,2.561,0.363,7,8,-72,5180,googleWifiAP05,1
31911913,2,2.522,0.342,7,8,-72,5180,googleWifiAP05,1
31912175,2,2.522,0.394,7,8,-72,5180,googleWifiAP05,1
31912437,2,2.717,0.241,3,8,-72,5180,googleWifiAP05,1
31912946,2,2.561,0.39,7,8,-72,5180,googleWifiAP05,1
31913193,2,2.6,0.358,7,8,-71,5180,googleWifiAP05,1
31913438,2,2.522,0.367,7,8,-71,5180,googleWifiAP05,1
31913927,2,2.6,0.354,7,8,-72,5180,googleWifiAP05,1
31914163,2,2.561,0.385,7,8,-72,5180,googleWifiAP05,1
31914398,2,2.561,0.394,7,8,-72,5180,googleWifiAP05,1
31914635,2,2.6,0.359,7,8,-72,5180,googleWifiAP05,1
31914871,2,2.561,0.385,7,8,-71,5180,googleWifiAP05,1
31915115,2,2.639,0.305,7,8,-72,5180,googleWifiAP05,1
31915356,2,2.522,0.404,7,8,-72,5180,googleWifiAP05,1
31915597,2,2.522,0.353,7,8,-72,5180,googleWifiAP05,1
31915842,2,2.522,0.319,7,8,-72,5180,googleWifiAP05,1
31916107,2,2.6,0.336,4,8,-72,5180,googleWifiAP05,1
31916347,2,2.639,0.3,7,8,-72,5180,googleWifiAP05,1
31916582,2,2.522,0.353,7,8,-72,5180,googleWifiAP05,1
31916817,2,2.522,0.352,7,8,-72,5180,googleWifiAP05,1
31917051,2,2.483,0.39,7,8,-72,5180,googleWifiAP05,1
31917288,2,2.678,0.285,7,8,-72,5180,googleWifiAP05,1
31917521,2,2.561,0.368,7,8,-72,5180,googleWifiAP05,1
31917770,2,2.522,0.359,7,8,-72,5180,googleWifiAP05,1
31918038,2,2.561,0.34,7,8,-71,5180,googleWifiAP05,1
31918301,2,2.405,0.41,7,8,-72,5180,googleWifiAP05,1
31918569,2,2.483,0.38,7,8,-72,5180,googleWifiAP05,1
31918835,2,2.483,0.403,7,8,-67,5180,googleWifiAP05,1
31919085,2,2.561,0.317,7,8,-66,5180,googleWifiAP05,1
31919330,2,2.522,0.358,7,8,-72,5180,googleWifiAP05,1
31919575,2,2.639,0.297,7,8,-71,5180,googleWifiAP05,1
31919836,2,2.561,0.34,7,8,-72,5180,googleWifiAP05,1
