#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
32486489,6,6.526,0.888,7,8,-95,5180,googleWifiAP05,1
32486737,6,6.789,0.526,7,8,-89,5180,googleWifiAP05,1
32486993,6,6.116,1.893,7,8,-86,5180,googleWifiAP05,1
32487282,6,7.961,1.198,7,8,-93,5180,googleWifiAP05,1
32487554,6,6.204,0.969,7,8,-93,5180,googleWifiAP05,1
32487839,6,6.057,0.951,7,8,-91,5180,googleWifiAP05,1
32488121,6,6.028,0.956,7,8,-90,5180,googleWifiAP05,1
32488409,6,6.379,0.88,7,8,-91,5180,googleWifiAP05,1
32488687,6,5.969,0.771,7,8,-91,5180,googleWifiAP05,1
32488964,6,7.258,1.221,7,8,-90,5180,googleWifiAP05,1
32489243,6,7.2,1.292,7,8,-90,5180,googleWifiAP05,1
32489521,6,6.555,0.907,7,8,-89,5180,googleWifiAP05,1
32489777,6,6.614,0.885,7,8,-89,5180,googleWifiAP05,1
32490024,6,6.702,0.949,7,8,-91,5180,googleWifiAP05,1
32490304,6,6.321,1.158,7,8,-92,5180,googleWifiAP05,1
32490586,6,6.467,1.132,7,8,-91,5180,googleWifiAP05,1
32490865,6,6.174,1.274,7,8,-90,5180,googleWifiAP05,1
32491145,6,6.438,1.088,7,8,-91,5180,googleWifiAP05,1
32491405,6,6.233,1.127,7,8,-91,5180,googleWifiAP05,1
32491693,6,6.057,1.063,7,8,-91,5180,googleWifiAP05,1
32491991,6,8.069,2.293,7,8,-91,5180,googleWifiAP05,1
32492278,6,6.438,0.929,7,8,-92,5180,googleWifiAP05,1
32492560,6,6.233,1.106,7,8,-91,5180,googleWifiAP05,1
32492842,6,6.379,0.974,7,8,-91,5180,googleWifiAP05,1
32493121,6,6.379,0.818,7,8,-93,5180,googleWifiAP05,1
32493401,6,6.379,0.902,7,8,-92,5180,googleWifiAP05,1
32493686,6,7.873,0.468,7,8,-90,5180,googleWifiAP05,1
32493956,6,6.409,0.467,7,8,-92,5180,googleWifiAP05,1
32494245,6,7.873,1.083,7,8,-89,5180,googleWifiAP05,1
32494524,6,7.444,1.532,7,8,-92,5180,googleWifiAP05,1
32494798,6,6.321,0.783,7,8,-92,5180,googleWifiAP05,1
32495081,6,5.911,0.943,7,8,-93,5180,googleWifiAP05,1
32495368,6,7.756,1.494,7,8,-94,5180,googleWifiAP05,1
32495640,6,7.913,1.278,7,8,-93,5180,googleWifiAP05,1
32495902,6,5.608,1.041,7,8,-93,5180,googleWifiAP05,1
32496178,6,6.497,0.679,7,8,-93,5180,googleWifiAP05,1
32496437,6,7.317,1.136,7,8,-92,5180,googleWifiAP05,1
32496694,6,7.717,1.229,7,8,-92,5180,googleWifiAP05,1
32496982,6,7.053,1.31,7,8,-93,5180,googleWifiAP05,1
32497265,6,6.057,0.888,7,8,-93,5180,googleWifiAP05,1
32497545,6,6.057,0.924,7,8,-95,5180,googleWifiAP05,1
32497813,6,5.764,1.088,7,8,-93,5180,googleWifiAP05,1
32498096,6,6.35,0.756,7,8,-92,5180,googleWifiAP05,1
32498364,6,7.053,1.552,7,8,-92,5180,googleWifiAP05,1
32498645,6,5.881,1.079,7,8,-94,5180,googleWifiAP05,1
32498903,6,6.35,0.784,7,8,-91,5180,googleWifiAP05,1
32499179,6,6.467,0.636,7,8,-93,5180,googleWifiAP05,1
32499455,6,5.969,0.958,7,8,-94,5180,googleWifiAP05,1
32499734,6,6.028,0.925,7,8,-92,5180,googleWifiAP05,1
32500013,6,6.057,0.878,7,8,-93,5180,googleWifiAP05,1
32500291,6,7.952,1.391,7,8,-93,5180,googleWifiAP05,1
32500574,6,5.998,0.92,7,8,-91,5180,googleWifiAP05,1
32500860,6,6.614,0.621,7,8,-91,5180,googleWifiAP05,1
32501139,6,6.643,0.643,7,8,-94,5180,googleWifiAP05,1
32501409,6,7.581,1.332,7,8,-91,5180,googleWifiAP05,1
32501683,6,5.852,1.126,7,8,-92,5180,googleWifiAP05,1
32501959,6,5.94,1.059,7,8,-94,5180,googleWifiAP05,1
32502236,6,7.639,1.5,7,8,-94,5180,googleWifiAP05,1
32502512,6,7.561,1.411,7,8,-92,5180,googleWifiAP05,1
32502791,6,7.493,1.149,7,8,-92,5180,googleWifiAP05,1
32503075,6,7.2,1.297,7,8,-91,5180,googleWifiAP05,1
32503359,6,7.639,1.434,7,8,-90,5180,googleWifiAP05,1
32503640,6,7.483,1.461,7,8,-90,5180,googleWifiAP05,1
32503919,6,7.375,1.303,7,8,-93,5180,googleWifiAP05,1
32504194,6,6.965,1.381,7,8,-95,5180,googleWifiAP05,1
32504486,6,6.35,0.766,7,8,-85,5180,googleWifiAP05,1
32504766,6,7.795,1.173,7,8,-94,5180,googleWifiAP05,1
32505045,6,7.727,1.312,7,8,-92,5180,googleWifiAP05,1
32505325,6,6.555,0.56,7,8,-91,5180,googleWifiAP05,1
32505611,6,6.028,0.865,7,8,-93,5180,googleWifiAP05,1
32505893,6,7.405,1.169,7,8,-92,5180,googleWifiAP05,1
32506174,6,6.204,0.871,7,8,-91,5180,googleWifiAP05,1
32506456,6,7.795,1.607,7,8,-94,5180,googleWifiAP05,1
