#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
32138176,4,5.373,0.694,7,8,-85,5180,googleWifiAP05,1
32138425,4,5.569,0.711,7,8,-82,5180,googleWifiAP05,1
32138684,4,5.178,0.699,7,8,-81,5180,googleWifiAP05,1
32138960,4,5.217,0.609,7,8,-80,5180,googleWifiAP05,1
32139246,4,5.413,0.719,7,8,-84,5180,googleWifiAP05,1
32139536,4,5.491,0.65,7,8,-84,5180,googleWifiAP05,1
32139823,4,5.452,0.454,7,8,-84,5180,googleWifiAP05,1
32140107,4,5.256,0.648,7,8,-84,5180,googleWifiAP05,1
32140389,4,5.334,0.539,7,8,-84,5180,googleWifiAP05,1
32140673,4,5.491,0.509,7,8,-85,5180,googleWifiAP05,1
32140956,4,5.413,0.571,7,8,-85,5180,googleWifiAP05,1
32141215,4,5.373,0.505,7,8,-84,5180,googleWifiAP05,1
32141472,4,5.452,0.459,7,8,-84,5180,googleWifiAP05,1
32141726,4,5.452,0.394,7,8,-83,5180,googleWifiAP05,1
32141996,4,5.295,0.574,7,8,-83,5180,googleWifiAP05,1
32142276,4,5.334,0.699,7,8,-84,5180,googleWifiAP05,1
32142564,4,5.295,0.427,7,8,-82,5180,googleWifiAP05,1
32142841,4,4.866,1.005,7,8,-80,5180,googleWifiAP05,1
32143122,4,5.451,0.743,7,8,-75,5180,googleWifiAP05,1
32143395,4,5.374,0.313,7,8,-81,5180,googleWifiAP05,1
32143674,4,5.413,0.379,7,8,-87,5180,googleWifiAP05,1
32143961,4,5.217,0.693,7,8,-84,5180,googleWifiAP05,1
32144246,4,4.983,0.602,7,8,-82,5180,googleWifiAP05,1
32144517,4,5.334,0.656,7,8,-84,5180,googleWifiAP05,1
32144799,4,5.256,0.861,7,8,-84,5180,googleWifiAP05,1
32145081,4,5.256,0.539,7,8,-84,5180,googleWifiAP05,1
32145371,4,5.178,0.614,7,8,-83,5180,googleWifiAP05,1
32145637,4,5.178,0.636,7,8,-84,5180,googleWifiAP05,1
32145927,4,5.334,0.702,7,8,-84,5180,googleWifiAP05,1
32146191,4,5.256,0.632,7,8,-83,5180,googleWifiAP05,1
32146548,4,5.491,0.461,7,8,-84,5180,googleWifiAP05,1
32146805,4,5.295,0.672,7,8,-83,5180,googleWifiAP05,1
32147064,4,5.217,0.678,7,8,-84,5180,googleWifiAP05,1
32147358,4,5.334,0.61,7,8,-84,5180,googleWifiAP05,1
32147639,4,5.295,0.627,7,8,-84,5180,googleWifiAP05,1
32147929,4,5.374,0.616,7,8,-84,5180,googleWifiAP05,1
32148197,4,5.178,0.731,7,8,-84,5180,googleWifiAP05,1
32148466,4,5.256,0.683,7,8,-84,5180,googleWifiAP05,1
32148752,4,5.374,0.623,7,8,-84,5180,googleWifiAP05,1
32149039,4,5.295,0.614,7,8,-84,5180,googleWifiAP05,1
32149323,4,5.763,0.528,7,8,-78,5180,googleWifiAP05,1
