#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
32787031,8,8.606,0.275,7,8,-91,5180,googleWifiAP05,1
32787278,8,9.075,0.085,7,8,-92,5180,googleWifiAP05,1
32787529,8,8.733,0.113,7,8,-89,5180,googleWifiAP05,1
32787788,8,8.84,0.131,7,8,-90,5180,googleWifiAP05,1
32788052,8,9.104,0.849,7,8,-96,5180,googleWifiAP05,1
32788321,8,8.665,0.348,7,8,-97,5180,googleWifiAP05,1
32788608,8,8.694,0.343,7,8,-95,5180,googleWifiAP05,1
32788882,8,8.547,0.299,7,8,-94,5180,googleWifiAP05,1
32789157,8,8.694,0.381,7,8,-94,5180,googleWifiAP05,1
32789435,8,8.84,0.324,7,8,-95,5180,googleWifiAP05,1
32789715,8,8.313,0.539,7,8,-96,5180,googleWifiAP05,1
32789995,8,8.342,0.389,7,8,-95,5180,googleWifiAP05,1
32790251,8,8.577,0.49,7,8,-95,5180,googleWifiAP05,1
32790492,8,8.079,0.7,7,8,-96,5180,googleWifiAP05,1
32790753,8,8.577,0.452,7,8,-95,5180,googleWifiAP05,1
32791025,8,8.694,0.411,7,8,-95,5180,googleWifiAP05,1
32791306,8,8.313,0.581,7,8,-95,5180,googleWifiAP05,1
32791584,8,7.961,0.71,7,8,-96,5180,googleWifiAP05,1
32791856,8,8.899,0.182,7,8,-93,5180,googleWifiAP05,1
32792129,8,8.577,0.348,7,8,-89,5180,googleWifiAP05,1
32792406,8,8.606,0.307,7,8,-91,5180,googleWifiAP05,1
32792657,8,8.284,0.412,7,8,-92,5180,googleWifiAP05,1
32792906,8,8.577,0.345,7,8,-92,5180,googleWifiAP05,1
32793156,8,8.372,0.368,7,8,-92,5180,googleWifiAP05,1
32793426,8,8.46,0.403,7,8,-94,5180,googleWifiAP05,1
32793676,8,8.342,0.586,7,8,-94,5180,googleWifiAP05,1
32793921,8,8.518,0.508,7,8,-94,5180,googleWifiAP05,1
32794168,8,8.489,0.382,7,8,-91,5180,googleWifiAP05,1
32794437,8,8.987,0.198,7,8,-93,5180,googleWifiAP05,1
32794700,8,9.192,0.924,7,8,-97,5180,googleWifiAP05,1
32794967,8,8.459,0.424,7,8,-96,5180,googleWifiAP05,1
32795233,8,9.045,1.145,7,8,-98,5180,googleWifiAP05,1
32795514,8,8.811,0.274,7,8,-96,5180,googleWifiAP05,1
32795797,8,8.967,1.425,7,8,-95,5180,googleWifiAP05,1
32796079,8,8.928,0.292,7,8,-94,5180,googleWifiAP05,1
32796359,8,8.782,0.31,7,8,-94,5180,googleWifiAP05,1
32796631,8,8.84,0.156,7,8,-93,5180,googleWifiAP05,1
32796912,8,8.899,0.32,7,8,-94,5180,googleWifiAP05,1
32797198,8,8.254,0.413,7,8,-94,5180,googleWifiAP05,1
32797482,8,8.547,0.318,7,8,-95,5180,googleWifiAP05,1
32797758,8,8.928,0.241,7,8,-93,5180,googleWifiAP05,1
32798041,8,8.577,0.242,7,8,-92,5180,googleWifiAP05,1
32798355,8,8.889,0.391,7,8,-89,5180,googleWifiAP05,1
32798625,8,9.133,0.188,7,8,-92,5180,googleWifiAP05,1
32798916,8,8.869,0.222,7,8,-95,5180,googleWifiAP05,1
32799204,8,8.313,0.387,7,8,-97,5180,googleWifiAP05,1
32799489,8,8.958,0.163,7,8,-94,5180,googleWifiAP05,1
32799775,8,9.28,1.181,7,8,-96,5180,googleWifiAP05,1
32800062,8,8.694,0.243,7,8,-95,5180,googleWifiAP05,1
32800344,8,9.084,1.319,7,8,-96,5180,googleWifiAP05,1
32800624,8,9.006,1.227,7,8,-94,5180,googleWifiAP05,1
32800896,8,9.123,1.129,7,8,-95,5180,googleWifiAP05,1
32801165,8,8.967,1.12,7,8,-95,5180,googleWifiAP05,1
32801450,8,8.958,0.281,7,8,-95,5180,googleWifiAP05,1
32801731,8,9.123,1.179,7,8,-94,5180,googleWifiAP05,1
32802001,8,9.124,1.227,7,8,-95,5180,googleWifiAP05,1
32802275,8,9.28,1.053,7,8,-96,5180,googleWifiAP05,1
32802559,8,8.577,0.403,7,8,-96,5180,googleWifiAP05,1
32802836,8,8.723,0.202,7,8,-96,5180,googleWifiAP05,1
32803118,8,8.665,0.286,7,8,-96,5180,googleWifiAP05,1
32803401,8,9.202,0.884,7,8,-95,5180,googleWifiAP05,1
32803681,8,9.084,0.898,7,8,-95,5180,googleWifiAP05,1
32803962,8,9.162,0.954,7,8,-89,5180,googleWifiAP05,1
32804235,8,9.163,1.297,7,8,-96,5180,googleWifiAP05,1
32804520,8,8.459,0.262,7,8,-95,5180,googleWifiAP05,1
32804802,8,8.518,0.365,7,8,-96,5180,googleWifiAP05,1
32805082,8,8.401,0.425,7,8,-95,5180,googleWifiAP05,1
32805364,8,9.163,0.281,7,8,-95,5180,googleWifiAP05,1
32805641,8,9.163,1.276,7,8,-95,5180,googleWifiAP05,1
32805921,8,9.202,1.032,7,8,-95,5180,googleWifiAP05,1
32806199,8,8.889,1.075,7,8,-95,5180,googleWifiAP05,1
32806480,8,8.518,0.266,7,8,-96,5180,googleWifiAP05,1
32806776,8,8.723,0.406,7,8,-97,5180,googleWifiAP05,1
32807058,8,8.782,0.312,7,8,-93,5180,googleWifiAP05,1
32807339,8,8.518,0.352,7,8,-94,5180,googleWifiAP05,1
32807617,8,9.397,1.077,7,8,-95,5180,googleWifiAP05,1
32807875,8,9.045,1.125,7,8,-96,5180,googleWifiAP05,1
32808140,8,8.577,0.25,7,8,-96,5180,googleWifiAP05,1
32808421,8,9.202,0.882,7,8,-96,5180,googleWifiAP05,1
32808701,8,8.303,0.44,7,8,-97,5180,googleWifiAP05,1
32808975,8,9.006,1.631,7,8,-94,5180,googleWifiAP05,1
32809258,8,8.967,0.338,7,8,-94,5180,googleWifiAP05,1
32809537,8,8.967,0.37,7,8,-95,5180,googleWifiAP05,1
32809820,8,8.694,0.451,7,8,-96,5180,googleWifiAP05,1
32810101,8,8.928,0.946,7,8,-95,5180,googleWifiAP05,1
32810385,8,8.489,0.291,7,8,-94,5180,googleWifiAP05,1
32810663,8,8.811,0.221,7,8,-93,5180,googleWifiAP05,1
32810942,8,8.928,0.112,7,8,-92,5180,googleWifiAP05,1
32811224,8,9.123,0.198,7,8,-92,5180,googleWifiAP05,1
32811503,8,9.397,0.112,7,8,-91,5180,googleWifiAP05,1
32811785,8,9.016,0.226,7,8,-90,5180,googleWifiAP05,1
32812060,8,9.592,0.819,7,8,-94,5180,googleWifiAP05,1
32812340,8,9.163,1.125,7,8,-95,5180,googleWifiAP05,1
32812616,8,9.319,1.047,7,8,-94,5180,googleWifiAP05,1
32812902,8,9.436,0.875,7,8,-93,5180,googleWifiAP05,1
32813184,8,9.436,0.985,7,8,-93,5180,googleWifiAP05,1
32813465,8,9.514,0.835,7,8,-92,5180,googleWifiAP05,1
32813746,8,8.928,0.183,7,8,-92,5180,googleWifiAP05,1
32814019,8,9.25,0.225,7,8,-92,5180,googleWifiAP05,1
32814298,8,9.319,0.391,7,8,-93,5180,googleWifiAP05,1
32814584,8,9.163,0.244,7,8,-92,5180,googleWifiAP05,1
32814875,8,9.319,0.857,7,8,-92,5180,googleWifiAP05,1
32815166,8,9.163,1.096,7,8,-92,5180,googleWifiAP05,1
32815454,8,9.045,0.282,7,8,-90,5180,googleWifiAP05,1
32815740,8,9.163,0.143,7,8,-90,5180,googleWifiAP05,1
32816018,8,9.368,0.14,7,8,-90,5180,googleWifiAP05,1
32816293,8,9.104,0.209,7,8,-91,5180,googleWifiAP05,1
32816571,8,9.192,0.221,7,8,-91,5180,googleWifiAP05,1
32816851,8,9.309,0.267,7,8,-91,5180,googleWifiAP05,1
32817134,8,9.368,0.074,7,8,-90,5180,googleWifiAP05,1
32817418,8,9.202,1.189,7,8,-91,5180,googleWifiAP05,1
32817706,8,9.436,1.158,7,8,-91,5180,googleWifiAP05,1
32817980,8,9.436,1.129,7,8,-91,5180,googleWifiAP05,1
32818258,8,9.397,1.104,7,8,-92,5180,googleWifiAP05,1
32818547,8,9.397,1.074,7,8,-93,5180,googleWifiAP05,1
32818833,8,9.28,1.141,7,8,-92,5180,googleWifiAP05,1
32819109,8,9.358,1.185,7,8,-92,5180,googleWifiAP05,1
32819395,8,9.397,1.103,7,8,-91,5180,googleWifiAP05,1
32819677,8,9.045,1.025,7,8,-92,5180,googleWifiAP05,1
32819961,8,9.202,1.128,7,8,-90,5180,googleWifiAP05,1
32820236,8,9.553,0.822,7,8,-91,5180,googleWifiAP05,1
32820524,8,9.319,1.228,7,8,-92,5180,googleWifiAP05,1
32820803,8,9.241,1.214,7,8,-91,5180,googleWifiAP05,1
32821083,8,9.045,1.198,7,8,-91,5180,googleWifiAP05,1
32821361,8,9.202,0.212,7,8,-91,5180,googleWifiAP05,1
32821641,8,9.436,1.072,7,8,-91,5180,googleWifiAP05,1
32821935,8,9.319,1.261,7,8,-92,5180,googleWifiAP05,1
32822219,8,9.319,1.128,7,8,-91,5180,googleWifiAP05,1
32822483,8,9.045,0.274,7,8,-92,5180,googleWifiAP05,1
32822744,8,9.084,0.361,7,8,-92,5180,googleWifiAP05,1
32823033,8,9.084,1.286,7,8,-91,5180,googleWifiAP05,1
32823317,8,9.28,1.089,7,8,-91,5180,googleWifiAP05,1
32823593,8,9.006,0.464,7,8,-91,5180,googleWifiAP05,1
32823876,8,9.075,0.191,7,8,-90,5180,googleWifiAP05,1
32824158,8,9.163,0.143,7,8,-90,5180,googleWifiAP05,1
32824440,8,9.133,0.154,7,8,-91,5180,googleWifiAP05,1
32824724,8,9.28,0.143,7,8,-91,5180,googleWifiAP05,1
32825003,8,9.045,0.095,7,8,-90,5180,googleWifiAP05,1
32825274,8,9.163,0.091,7,8,-90,5180,googleWifiAP05,1
32825553,8,9.319,0.126,7,8,-90,5180,googleWifiAP05,1
32825835,8,9.319,0.146,7,8,-90,5180,googleWifiAP05,1
32826124,8,9.241,0.187,7,8,-90,5180,googleWifiAP05,1
32826401,8,9.202,0.097,7,8,-91,5180,googleWifiAP05,1
32826674,8,9.25,0.159,7,8,-91,5180,googleWifiAP05,1
32826954,8,8.987,0.173,7,8,-90,5180,googleWifiAP05,1
32827238,8,9.045,0.225,7,8,-91,5180,googleWifiAP05,1
32827522,8,8.928,0.215,7,8,-91,5180,googleWifiAP05,1
32827803,8,8.84,0.149,7,8,-91,5180,googleWifiAP05,1
32828079,8,8.899,0.124,7,8,-92,5180,googleWifiAP05,1
32828356,8,8.928,0.229,7,8,-91,5180,googleWifiAP05,1
32828641,8,8.957,0.188,7,8,-90,5180,googleWifiAP05,1
32828929,8,8.928,0.133,7,8,-91,5180,googleWifiAP05,1
32829482,8,8.84,0.305,7,8,-91,5180,googleWifiAP05,1
32829758,8,8.782,0.259,7,8,-91,5180,googleWifiAP05,1
32830036,8,9.319,0.873,7,8,-96,5180,googleWifiAP05,1
32830301,8,9.006,0.952,7,8,-95,5180,googleWifiAP05,1
32830579,8,8.967,1.434,7,8,-96,5180,googleWifiAP05,1
32830849,8,9.319,1.374,7,8,-94,5180,googleWifiAP05,1
32831127,8,9.045,1.424,7,8,-95,5180,googleWifiAP05,1
32831394,8,8.958,0.204,7,8,-93,5180,googleWifiAP05,1
32831682,8,9.358,1.227,7,8,-94,5180,googleWifiAP05,1
32831957,8,9.28,0.281,7,8,-92,5180,googleWifiAP05,1
32832241,8,9.28,1.295,7,8,-92,5180,googleWifiAP05,1
32832523,8,9.104,0.171,7,8,-93,5180,googleWifiAP05,1
32832803,8,9.202,1.108,7,8,-98,5180,googleWifiAP05,1
32833082,8,8.85,1.035,7,8,-95,5180,googleWifiAP05,1
32833358,8,9.006,1.035,7,8,-94,5180,googleWifiAP05,1
32833634,8,8.772,0.071,7,8,-94,5180,googleWifiAP05,1
32833919,8,8.137,0.364,7,8,-96,5180,googleWifiAP05,1
32834191,8,8.723,0.226,7,8,-94,5180,googleWifiAP05,1
32834456,8,8.401,0.419,7,8,-93,5180,googleWifiAP05,1
32834736,8,8.196,0.406,7,8,-93,5180,googleWifiAP05,1
32835018,8,8.899,0.154,7,8,-95,5180,googleWifiAP05,1
