#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
12398787,6,7.522,0.165,7,8,-77,5180,GoogleWiFi_AP03,1
12399166,6,7.288,0.399,7,8,-76,5180,GoogleWiFi_AP03,1
12399564,6,7.141,0.345,7,8,-77,5180,GoogleWiFi_AP03,1
12399962,6,7.346,1.504,7,8,-74,5180,GoogleWiFi_AP03,1
12400373,6,7.786,0.998,7,8,-74,5180,GoogleWiFi_AP03,1
12400791,6,7.493,1.301,7,8,-75,5180,GoogleWiFi_AP03,1
12401196,6,7.288,1.32,7,8,-76,5180,GoogleWiFi_AP03,1
12401581,6,7.678,0.447,7,8,-67,5180,GoogleWiFi_AP03,1
12401988,6,7.815,1.133,7,8,-68,5180,GoogleWiFi_AP03,1
12402359,6,7.815,1.225,7,8,-74,5180,GoogleWiFi_AP03,1
12402749,6,7.522,0.265,7,8,-75,5180,GoogleWiFi_AP03,1
12403153,6,7.249,1.689,7,8,-75,5180,GoogleWiFi_AP03,1
12403563,6,7.288,1.684,7,8,-76,5180,GoogleWiFi_AP03,1
12403968,6,7.483,1.375,7,8,-77,5180,GoogleWiFi_AP03,1
12404375,6,8.899,1.004,7,8,-78,5180,GoogleWiFi_AP03,1
12404784,6,8.85,0.918,7,8,-79,5180,GoogleWiFi_AP03,1
12405161,6,9.827,0.498,7,8,-78,5180,GoogleWiFi_AP03,1
12405572,6,10.159,0.8,7,8,-77,5180,GoogleWiFi_AP03,1
12405984,6,10.139,0.768,7,8,-79,5180,GoogleWiFi_AP03,1
12406395,6,10.061,0.398,7,8,-70,5180,GoogleWiFi_AP03,1
12406800,6,8.166,0.621,7,8,-77,5180,GoogleWiFi_AP03,1
12407216,6,7.288,1.661,7,8,-75,5180,GoogleWiFi_AP03,1
12407622,6,7.434,0.325,7,8,-75,5180,GoogleWiFi_AP03,1
12408031,6,7.463,0.125,7,8,-75,5180,GoogleWiFi_AP03,1
12408442,6,7.346,0.365,7,8,-75,5180,GoogleWiFi_AP03,1
