#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
12691436,3,4.67,1.209,7,8,-69,5180,GoogleWiFi_AP03,1
12691811,3,4.592,1.834,7,8,-68,5180,GoogleWiFi_AP03,1
12692217,3,4.475,1.165,7,8,-69,5180,GoogleWiFi_AP03,1
12692632,3,4.592,0.748,7,8,-67,5180,GoogleWiFi_AP03,1
12693026,3,4.866,1.042,7,8,-67,5180,GoogleWiFi_AP03,1
12693434,3,5.032,0.142,7,8,-68,5180,GoogleWiFi_AP03,1
12693842,3,4.651,0.199,7,8,-67,5180,GoogleWiFi_AP03,1
12694255,3,4.387,0.429,7,8,-66,5180,GoogleWiFi_AP03,1
12694643,3,4.944,1.127,7,8,-67,5180,GoogleWiFi_AP03,1
12695036,3,4.045,0.331,7,8,-66,5180,GoogleWiFi_AP03,1
12695449,3,4.514,0.194,7,8,-67,5180,GoogleWiFi_AP03,1
12695861,3,4.553,1.283,7,8,-68,5180,GoogleWiFi_AP03,1
12696265,3,4.241,0.165,7,8,-67,5180,GoogleWiFi_AP03,1
12696676,3,3.772,0.34,7,8,-66,5180,GoogleWiFi_AP03,1
12697084,3,4.182,0.263,7,8,-66,5180,GoogleWiFi_AP03,1
12697496,3,4.709,0.147,7,8,-68,5180,GoogleWiFi_AP03,1
12697910,3,4.866,0.213,7,8,-68,5180,GoogleWiFi_AP03,1
12698322,3,4.748,0.223,7,8,-67,5180,GoogleWiFi_AP03,1
12698734,3,4.749,0.182,7,8,-67,5180,GoogleWiFi_AP03,1
12699139,3,4.749,0.324,7,8,-67,5180,GoogleWiFi_AP03,1
12699542,3,4.866,0.174,7,8,-66,5180,GoogleWiFi_AP03,1
12699949,3,4.749,0.694,7,8,-68,5180,GoogleWiFi_AP03,1
12700334,3,3.811,0.348,7,8,-67,5180,GoogleWiFi_AP03,1
12700724,3,3.616,0.342,7,8,-66,5180,GoogleWiFi_AP03,1
12701134,3,4.28,0.193,7,8,-66,5180,GoogleWiFi_AP03,1
12701535,3,4.592,0.362,7,8,-68,5180,GoogleWiFi_AP03,1
12701943,3,4.514,0.303,7,8,-68,5180,GoogleWiFi_AP03,1
12702333,3,4.709,0.428,7,8,-60,5180,GoogleWiFi_AP03,1
12702743,3,4.708,0.453,7,8,-59,5180,GoogleWiFi_AP03,1
12703151,3,4.202,0.65,7,8,-69,5180,GoogleWiFi_AP03,1
12703562,3,4.319,0.471,7,8,-63,5180,GoogleWiFi_AP03,1
12703970,3,4.475,0.38,7,8,-67,5180,GoogleWiFi_AP03,1
12704382,3,4.709,0.186,7,8,-60,5180,GoogleWiFi_AP03,1
12704791,3,4.748,0.507,7,8,-61,5180,GoogleWiFi_AP03,1
12705201,3,4.866,0.438,7,8,-67,5180,GoogleWiFi_AP03,1
12705609,3,4.709,0.384,7,8,-58,5180,GoogleWiFi_AP03,1
12706010,3,4.709,0.147,7,8,-67,5180,GoogleWiFi_AP03,1
12706419,3,4.71,0.721,7,8,-68,5180,GoogleWiFi_AP03,1
12706819,3,4.553,0.529,7,8,-68,5180,GoogleWiFi_AP03,1
12707211,3,4.592,0.399,7,8,-68,5180,GoogleWiFi_AP03,1
12707633,3,4.709,0.336,7,8,-68,5180,GoogleWiFi_AP03,1
12708042,3,4.788,0.335,7,8,-68,5180,GoogleWiFi_AP03,1
12708449,3,4.788,1.125,7,8,-69,5180,GoogleWiFi_AP03,1
12708855,3,4.827,0.586,7,8,-69,5180,GoogleWiFi_AP03,1
12709248,3,4.827,0.167,7,8,-68,5180,GoogleWiFi_AP03,1
12709651,3,4.749,0.123,7,8,-67,5180,GoogleWiFi_AP03,1
12710047,3,4.866,0.788,7,8,-67,5180,GoogleWiFi_AP03,1
12710460,3,4.387,0.175,7,8,-67,5180,GoogleWiFi_AP03,1
12710874,3,4.475,0.141,7,8,-66,5180,GoogleWiFi_AP03,1
12711286,3,4.329,0.159,7,8,-67,5180,GoogleWiFi_AP03,1
12711691,3,4.709,0.286,7,8,-67,5180,GoogleWiFi_AP03,1
12712090,3,4.397,0.699,7,8,-70,5180,GoogleWiFi_AP03,1
12712504,3,4.67,0.565,7,8,-68,5180,GoogleWiFi_AP03,1
12712927,3,4.436,0.537,7,8,-68,5180,GoogleWiFi_AP03,1
12713329,3,4.162,1.027,7,8,-69,5180,GoogleWiFi_AP03,1
12713736,3,4.123,0.918,7,8,-68,5180,GoogleWiFi_AP03,1
12714135,3,4.162,0.738,7,8,-68,5180,GoogleWiFi_AP03,1
12714526,3,4.202,1.558,7,8,-68,5180,GoogleWiFi_AP03,1
12714935,3,3.185,1.376,7,8,-61,5180,GoogleWiFi_AP03,1
12715347,3,4.436,0.126,7,8,-67,5180,GoogleWiFi_AP03,1
12715751,3,4.241,0.45,7,8,-61,5180,GoogleWiFi_AP03,1
12716162,3,4.357,0.811,7,8,-60,5180,GoogleWiFi_AP03,1
12716572,3,4.387,0.242,7,8,-67,5180,GoogleWiFi_AP03,1
12716982,3,4.358,0.81,7,8,-69,5180,GoogleWiFi_AP03,1
12717389,3,4.358,0.537,7,8,-68,5180,GoogleWiFi_AP03,1
12717800,3,2.912,2.175,7,8,-60,5180,GoogleWiFi_AP03,1
12718209,3,4.318,0.616,7,8,-60,5180,GoogleWiFi_AP03,1
12718616,3,4.67,0.894,7,8,-64,5180,GoogleWiFi_AP03,1
12719022,3,4.63,0.717,7,8,-59,5180,GoogleWiFi_AP03,1
12719426,3,4.436,0.533,7,8,-67,5180,GoogleWiFi_AP03,1
12719841,3,4.709,0.107,7,8,-67,5180,GoogleWiFi_AP03,1
12720252,3,4.621,0.188,7,8,-65,5180,GoogleWiFi_AP03,1
12720665,3,4.797,0.532,7,8,-59,5180,GoogleWiFi_AP03,1
