#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
13216091,8,9.748,2.188,7,8,-79,5180,GoogleWiFi_AP03,1
13216468,8,9.719,0.063,7,8,-78,5180,GoogleWiFi_AP03,1
13216865,8,9.778,1.027,7,8,-80,5180,GoogleWiFi_AP03,1
13217276,8,9.69,0.986,7,8,-81,5180,GoogleWiFi_AP03,1
13217689,8,8.186,0.823,7,8,-82,5180,GoogleWiFi_AP03,1
13218096,8,9.045,0.286,7,8,-81,5180,GoogleWiFi_AP03,1
13218507,8,8.967,0.621,7,8,-84,5180,GoogleWiFi_AP03,1
13218916,8,8.928,0.749,7,8,-82,5180,GoogleWiFi_AP03,1
13219304,8,8.733,2.32,7,8,-85,5180,GoogleWiFi_AP03,1
13219690,8,9.006,1.726,7,8,-84,5180,GoogleWiFi_AP03,1
13220093,8,9.836,0.337,7,8,-83,5180,GoogleWiFi_AP03,1
13220496,8,11.623,0.43,7,8,-83,5180,GoogleWiFi_AP03,1
13220908,8,10.95,0.451,7,8,-82,5180,GoogleWiFi_AP03,1
13221326,8,9.28,0.852,7,8,-83,5180,GoogleWiFi_AP03,1
13221730,8,9.104,2.468,7,8,-82,5180,GoogleWiFi_AP03,1
13222134,8,13.069,0.236,7,8,-80,5180,GoogleWiFi_AP03,1
13222544,8,12.834,0.351,7,8,-81,5180,GoogleWiFi_AP03,1
13222948,8,13.342,0.348,7,8,-82,5180,GoogleWiFi_AP03,1
13223362,8,11.038,0.702,7,8,-80,5180,GoogleWiFi_AP03,1
13223766,8,10.247,1.388,7,8,-85,5180,GoogleWiFi_AP03,1
13224178,8,9.338,1.342,7,8,-83,5180,GoogleWiFi_AP03,1
13224585,8,9.924,1.926,7,8,-78,5180,GoogleWiFi_AP03,1
13224995,8,9.28,1.741,7,8,-84,5180,GoogleWiFi_AP03,1
13225402,8,8.665,2.103,7,8,-82,5180,GoogleWiFi_AP03,1
13225814,8,9.319,1.564,7,8,-82,5180,GoogleWiFi_AP03,1
13226225,8,9.788,0.169,7,8,-83,5180,GoogleWiFi_AP03,1
13226636,8,9.631,0.241,7,8,-82,5180,GoogleWiFi_AP03,1
13227048,8,9.827,0.074,7,8,-82,5180,GoogleWiFi_AP03,1
13227459,8,9.778,0.266,7,8,-81,5180,GoogleWiFi_AP03,1
13227850,8,9.866,1.276,7,8,-80,5180,GoogleWiFi_AP03,1
13228260,8,10.422,1.214,7,8,-80,5180,GoogleWiFi_AP03,1
13228660,8,9.983,1.319,7,8,-85,5180,GoogleWiFi_AP03,1
13229055,8,9.836,1.332,7,8,-82,5180,GoogleWiFi_AP03,1
13229449,8,10.51,1.136,7,8,-80,5180,GoogleWiFi_AP03,1
13229874,8,10.188,1.197,7,8,-82,5180,GoogleWiFi_AP03,1
13230280,8,10.071,1.204,7,8,-81,5180,GoogleWiFi_AP03,1
13230691,8,9.866,1.432,7,8,-85,5180,GoogleWiFi_AP03,1
13231100,8,9.69,1.598,7,8,-84,5180,GoogleWiFi_AP03,1
13231508,8,9.485,1.678,7,8,-84,5180,GoogleWiFi_AP03,1
13231918,8,9.983,1.393,7,8,-85,5180,GoogleWiFi_AP03,1
13232367,8,9.836,1.447,7,8,-84,5180,GoogleWiFi_AP03,1
13232783,8,9.573,1.655,7,8,-84,5180,GoogleWiFi_AP03,1
13233191,8,12.444,0.261,7,8,-84,5180,GoogleWiFi_AP03,1
13233575,8,9.075,0.881,7,8,-85,5180,GoogleWiFi_AP03,1
13233967,8,9.28,0.629,7,8,-85,5180,GoogleWiFi_AP03,1
13234356,8,10.178,0.198,7,8,-78,5180,GoogleWiFi_AP03,1
13234853,8,10.276,1.116,7,8,-81,5180,GoogleWiFi_AP03,1
13235294,8,10.92,0.863,7,8,-81,5180,GoogleWiFi_AP03,1
13235776,8,9.778,1.21,7,8,-80,5180,GoogleWiFi_AP03,1
13236161,8,9.778,1.268,7,8,-81,5180,GoogleWiFi_AP03,1
13236697,8,10.979,0.765,7,8,-80,5180,GoogleWiFi_AP03,1
13237153,8,10.803,1.009,7,8,-81,5180,GoogleWiFi_AP03,1
13237593,8,11.067,0.747,7,8,-82,5180,GoogleWiFi_AP03,1
13237999,8,10.833,0.877,7,8,-80,5180,GoogleWiFi_AP03,1
13238399,8,10.491,0.294,7,8,-75,5180,GoogleWiFi_AP03,1
13238809,8,10.861,0.535,7,8,-71,5180,GoogleWiFi_AP03,1
13239221,8,10.92,0.725,7,8,-73,5180,GoogleWiFi_AP03,1
13239629,8,10.685,1.103,7,8,-74,5180,GoogleWiFi_AP03,1
13240041,8,10.48,1.047,7,8,-73,5180,GoogleWiFi_AP03,1
13240456,8,10.539,0.147,7,8,-80,5180,GoogleWiFi_AP03,1
13240869,8,10.256,0.102,7,8,-82,5180,GoogleWiFi_AP03,1
13241282,8,9.905,0.283,7,8,-83,5180,GoogleWiFi_AP03,1
13241688,8,10.061,0.221,7,8,-82,5180,GoogleWiFi_AP03,1
13242076,8,8.84,1.921,7,8,-87,5180,GoogleWiFi_AP03,1
13242481,8,10.745,0.584,7,8,-80,5180,GoogleWiFi_AP03,1
13242876,8,10.452,0.726,7,8,-79,5180,GoogleWiFi_AP03,1
13243287,8,10.413,0.912,7,8,-78,5180,GoogleWiFi_AP03,1
13243694,8,10.686,1.218,7,8,-78,5180,GoogleWiFi_AP03,1
13244087,8,10.061,0.847,7,8,-80,5180,GoogleWiFi_AP03,1
13244496,8,9.983,0.699,7,8,-81,5180,GoogleWiFi_AP03,1
13244911,8,9.553,0.349,7,8,-79,5180,GoogleWiFi_AP03,1
13245308,8,10.491,0.169,7,8,-79,5180,GoogleWiFi_AP03,1
13245719,8,9.28,0.702,7,8,-80,5180,GoogleWiFi_AP03,1
13246114,8,8.401,1.371,7,8,-84,5180,GoogleWiFi_AP03,1
13246524,8,8.752,0.485,7,8,-80,5180,GoogleWiFi_AP03,1
13246932,8,9.573,0.809,7,8,-80,5180,GoogleWiFi_AP03,1
13247320,8,10.334,1.432,7,8,-80,5180,GoogleWiFi_AP03,1
13247735,8,10.657,0.913,7,8,-76,5180,GoogleWiFi_AP03,1
13248145,8,11.594,0.542,7,8,-78,5180,GoogleWiFi_AP03,1
13248553,8,11.623,0.217,7,8,-80,5180,GoogleWiFi_AP03,1
13248967,8,12.014,0.168,7,8,-79,5180,GoogleWiFi_AP03,1
13249384,8,10.999,0.486,7,8,-78,5180,GoogleWiFi_AP03,1
13249789,8,11.077,0.351,7,8,-78,5180,GoogleWiFi_AP03,1
13250179,8,8.693,2.562,7,8,-69,5180,GoogleWiFi_AP03,1
13250592,8,10.217,1.508,7,8,-78,5180,GoogleWiFi_AP03,1
13250994,8,6.115,5.103,7,8,-72,5180,GoogleWiFi_AP03,1
13251406,8,9.279,1.746,7,8,-71,5180,GoogleWiFi_AP03,1
13251804,8,10.842,0.811,7,8,-76,5180,GoogleWiFi_AP03,1
13252211,8,11.038,0.7,7,8,-76,5180,GoogleWiFi_AP03,1
13252620,8,10.608,0.91,7,8,-75,5180,GoogleWiFi_AP03,1
13253029,8,10.413,0.532,7,8,-79,5180,GoogleWiFi_AP03,1
13253442,8,10.92,0.335,7,8,-80,5180,GoogleWiFi_AP03,1
13253850,8,11.213,0.134,7,8,-80,5180,GoogleWiFi_AP03,1
13254254,8,10.725,0.91,7,8,-79,5180,GoogleWiFi_AP03,1
13254664,8,11.116,0.372,7,8,-79,5180,GoogleWiFi_AP03,1
13255075,8,11.194,0.555,7,8,-79,5180,GoogleWiFi_AP03,1
13255482,8,11.038,0.756,7,8,-77,5180,GoogleWiFi_AP03,1
13255887,8,10.959,1.099,7,8,-79,5180,GoogleWiFi_AP03,1
13256292,8,11.975,0.245,7,8,-80,5180,GoogleWiFi_AP03,1
13256700,8,11.653,0.506,7,8,-79,5180,GoogleWiFi_AP03,1
13257110,8,11.799,0.407,7,8,-79,5180,GoogleWiFi_AP03,1
13257525,8,10.891,0.946,7,8,-78,5180,GoogleWiFi_AP03,1
13257931,8,9.807,0.959,7,8,-77,5180,GoogleWiFi_AP03,1
13258343,8,9.905,1.027,7,8,-78,5180,GoogleWiFi_AP03,1
13258751,8,11.038,0.095,7,8,-78,5180,GoogleWiFi_AP03,1
13259162,8,9.397,0.391,7,8,-77,5180,GoogleWiFi_AP03,1
13259572,8,10.1,1.305,7,8,-80,5180,GoogleWiFi_AP03,1
13259986,8,9.866,1.391,7,8,-79,5180,GoogleWiFi_AP03,1
13260395,8,10.217,1.146,7,8,-80,5180,GoogleWiFi_AP03,1
13260803,8,9.983,0.986,7,8,-77,5180,GoogleWiFi_AP03,1
13261208,8,9.709,2.111,7,8,-78,5180,GoogleWiFi_AP03,1
13261617,8,8.694,0.845,7,8,-78,5180,GoogleWiFi_AP03,1
13262002,8,11.35,0.606,7,8,-82,5180,GoogleWiFi_AP03,1
13262400,8,11.096,0.598,7,8,-80,5180,GoogleWiFi_AP03,1
13262809,8,11.155,0.651,7,8,-81,5180,GoogleWiFi_AP03,1
13263221,8,10.53,1.617,7,8,-83,5180,GoogleWiFi_AP03,1
13263634,8,11.35,0.062,7,8,-75,5180,GoogleWiFi_AP03,1
13264047,8,10.608,0.22,7,8,-76,5180,GoogleWiFi_AP03,1
13264462,8,10.725,0.142,7,8,-76,5180,GoogleWiFi_AP03,1
13264876,8,10.686,0.195,7,8,-76,5180,GoogleWiFi_AP03,1
13265279,8,10.842,0.167,7,8,-76,5180,GoogleWiFi_AP03,1
13265692,8,10.803,0.181,7,8,-76,5180,GoogleWiFi_AP03,1
13266104,8,10.764,0.273,7,8,-76,5180,GoogleWiFi_AP03,1
13266516,8,11.116,0.142,7,8,-77,5180,GoogleWiFi_AP03,1
13266916,8,11.799,0.175,7,8,-71,5180,GoogleWiFi_AP03,1
13267326,8,10.959,0.415,7,8,-76,5180,GoogleWiFi_AP03,1
13267717,8,11.116,0.575,7,8,-76,5180,GoogleWiFi_AP03,1
13268123,8,10.999,1.199,7,8,-82,5180,GoogleWiFi_AP03,1
13268537,8,11.272,0.165,7,8,-77,5180,GoogleWiFi_AP03,1
13268948,8,10.686,0.747,7,8,-78,5180,GoogleWiFi_AP03,1
13269339,8,10.979,0.175,7,8,-79,5180,GoogleWiFi_AP03,1
13269746,8,9.866,0.241,7,8,-78,5180,GoogleWiFi_AP03,1
13270158,8,8.928,0.697,7,8,-73,5180,GoogleWiFi_AP03,1
13270564,8,9.133,0.485,7,8,-78,5180,GoogleWiFi_AP03,1
13270966,8,8.781,0.89,7,8,-70,5180,GoogleWiFi_AP03,1
13271379,8,9.075,0.587,7,8,-78,5180,GoogleWiFi_AP03,1
13271791,8,9.514,0.237,7,8,-77,5180,GoogleWiFi_AP03,1
13272204,8,9.163,0.484,7,8,-77,5180,GoogleWiFi_AP03,1
13272613,8,9.426,0.28,7,8,-76,5180,GoogleWiFi_AP03,1
13273020,8,9.192,0.451,7,8,-76,5180,GoogleWiFi_AP03,1
13273431,8,9.192,0.452,7,8,-77,5180,GoogleWiFi_AP03,1
13273818,8,9.719,0.087,7,8,-76,5180,GoogleWiFi_AP03,1
13274220,8,9.514,0.296,7,8,-75,5180,GoogleWiFi_AP03,1
13274633,8,9.338,0.382,7,8,-78,5180,GoogleWiFi_AP03,1
13275041,8,9.866,1.035,7,8,-79,5180,GoogleWiFi_AP03,1
13275446,8,10.295,0.784,7,8,-72,5180,GoogleWiFi_AP03,1
13275855,8,8.84,0.709,7,8,-78,5180,GoogleWiFi_AP03,1
13276255,8,9.602,0.218,7,8,-78,5180,GoogleWiFi_AP03,1
13276669,8,10.295,0.893,7,8,-77,5180,GoogleWiFi_AP03,1
13277083,8,10.413,0.639,7,8,-77,5180,GoogleWiFi_AP03,1
13277495,8,9.719,0.538,7,8,-78,5180,GoogleWiFi_AP03,1
13277920,8,11.271,0.627,7,8,-70,5180,GoogleWiFi_AP03,1
13278324,8,11.741,0.192,7,8,-80,5180,GoogleWiFi_AP03,1
13278732,8,11.301,0.467,7,8,-78,5180,GoogleWiFi_AP03,1
13279140,8,10.452,1.431,7,8,-81,5180,GoogleWiFi_AP03,1
13279552,8,11.008,0.18,7,8,-80,5180,GoogleWiFi_AP03,1
13279959,8,9.163,1.295,7,8,-84,5180,GoogleWiFi_AP03,1
13280365,8,9.67,0.061,7,8,-75,5180,GoogleWiFi_AP03,1
13280777,8,9.084,0.216,7,8,-76,5180,GoogleWiFi_AP03,1
13281185,8,9.202,0.488,7,8,-77,5180,GoogleWiFi_AP03,1
13281592,8,8.889,0.747,7,8,-74,5180,GoogleWiFi_AP03,1
13282004,8,8.499,0.788,7,8,-74,5180,GoogleWiFi_AP03,1
13282417,8,8.889,0.543,7,8,-74,5180,GoogleWiFi_AP03,1
13282830,8,9.319,0.393,7,8,-74,5180,GoogleWiFi_AP03,1
13283235,8,8.772,0.63,7,8,-74,5180,GoogleWiFi_AP03,1
13283644,8,8.694,0.711,7,8,-76,5180,GoogleWiFi_AP03,1
13284040,8,9.807,0.109,7,8,-78,5180,GoogleWiFi_AP03,1
13284450,8,8.928,1.856,7,8,-81,5180,GoogleWiFi_AP03,1
13284864,8,10.774,0.327,7,8,-84,5180,GoogleWiFi_AP03,1
13285272,8,9.67,1.259,7,8,-82,5180,GoogleWiFi_AP03,1
13285683,8,9.983,0.289,7,8,-79,5180,GoogleWiFi_AP03,1
13286089,8,10.159,0.232,7,8,-80,5180,GoogleWiFi_AP03,1
13286497,8,9.661,1.515,7,8,-82,5180,GoogleWiFi_AP03,1
13286909,8,9.661,1.281,7,8,-80,5180,GoogleWiFi_AP03,1
13287318,8,9.045,1.043,7,8,-81,5180,GoogleWiFi_AP03,1
13287727,8,9.397,0.757,7,8,-81,5180,GoogleWiFi_AP03,1
13288133,8,9.426,0.761,7,8,-82,5180,GoogleWiFi_AP03,1
13288547,8,11.155,0.242,7,8,-78,5180,GoogleWiFi_AP03,1
13288953,8,11.272,0.31,7,8,-78,5180,GoogleWiFi_AP03,1
13289345,8,10.774,0.453,7,8,-78,5180,GoogleWiFi_AP03,1
13289754,8,11.858,0.362,7,8,-79,5180,GoogleWiFi_AP03,1
13290168,8,11.243,0.835,7,8,-81,5180,GoogleWiFi_AP03,1
13290579,8,9.954,1.282,7,8,-79,5180,GoogleWiFi_AP03,1
13290992,8,10.54,1.357,7,8,-80,5180,GoogleWiFi_AP03,1
13291404,8,10.159,0.486,7,8,-82,5180,GoogleWiFi_AP03,1
13291825,8,10.159,0.508,7,8,-83,5180,GoogleWiFi_AP03,1
13292232,8,10.774,0.176,7,8,-82,5180,GoogleWiFi_AP03,1
13292642,8,10.071,0.624,7,8,-80,5180,GoogleWiFi_AP03,1
13293052,8,10.979,0.097,7,8,-81,5180,GoogleWiFi_AP03,1
13293449,8,10.999,0.272,7,8,-80,5180,GoogleWiFi_AP03,1
13293861,8,11.116,0.13,7,8,-80,5180,GoogleWiFi_AP03,1
13294269,8,10.979,0.128,7,8,-80,5180,GoogleWiFi_AP03,1
13294676,8,11.428,0.457,7,8,-78,5180,GoogleWiFi_AP03,1
13295091,8,10.95,1.07,7,8,-78,5180,GoogleWiFi_AP03,1
13295498,8,11.008,0.832,7,8,-78,5180,GoogleWiFi_AP03,1
13295907,8,11.067,0.728,7,8,-79,5180,GoogleWiFi_AP03,1
13296316,8,10.334,0.776,7,8,-80,5180,GoogleWiFi_AP03,1
13296727,8,10.657,0.57,7,8,-79,5180,GoogleWiFi_AP03,1
13297138,8,10.833,0.65,7,8,-79,5180,GoogleWiFi_AP03,1
13297558,8,11.008,0.152,7,8,-80,5180,GoogleWiFi_AP03,1
13297969,8,11.565,0.119,7,8,-79,5180,GoogleWiFi_AP03,1
13298377,8,11.155,0.168,7,8,-79,5180,GoogleWiFi_AP03,1
13298787,8,11.038,0.114,7,8,-80,5180,GoogleWiFi_AP03,1
13299199,8,10.647,0.777,7,8,-79,5180,GoogleWiFi_AP03,1
13299612,8,9.983,0.206,7,8,-81,5180,GoogleWiFi_AP03,1
13300021,8,9.426,0.439,7,8,-82,5180,GoogleWiFi_AP03,1
13300434,8,10.247,0.226,7,8,-81,5180,GoogleWiFi_AP03,1
13300844,8,9.368,0.449,7,8,-82,5180,GoogleWiFi_AP03,1
13301256,8,10.413,0.139,7,8,-81,5180,GoogleWiFi_AP03,1
13301669,8,10.422,0.131,7,8,-81,5180,GoogleWiFi_AP03,1
13302067,8,10.481,0.169,7,8,-81,5180,GoogleWiFi_AP03,1
13302474,8,10.452,0.18,7,8,-80,5180,GoogleWiFi_AP03,1
13302883,8,10.569,0.337,7,8,-81,5180,GoogleWiFi_AP03,1
13303292,8,10.569,0.099,7,8,-80,5180,GoogleWiFi_AP03,1
13303691,8,10.569,0.24,7,8,-80,5180,GoogleWiFi_AP03,1
13304091,8,10.774,0.157,7,8,-80,5180,GoogleWiFi_AP03,1
13304496,8,10.51,0.157,7,8,-80,5180,GoogleWiFi_AP03,1
13304905,8,10.452,0.348,7,8,-80,5180,GoogleWiFi_AP03,1
13305305,8,10.217,0.301,7,8,-81,5180,GoogleWiFi_AP03,1
